No.,Chinese (Simplified),Type,Gender,Note,Reference,EN,EN Optional,EN Status,JA,读音,JA Status,KO,KO Optional,KO Status,DE,FR,ES-419,RU,PT-BR,TH,ID,IT,Key_Index
79,麦考贝,角色名称 Character Name,Male,"麦考贝是角色名字，玩梗的说法
1、呼应了异能者的复制能力
2、导演迈克尔贝不断复制自己作品的梗",,Michael Pay,,Confirmed,マイケル・ペー,,Confirmed,마이클 페이,,Confirmed,Michael Pay,Michael Pay,Michael Pay,Майкл Пэй,Michael Pay,ไมเคิล เพย์,Michael Pay,,
80,胶片,系统/玩法 System/Gameplay,/,拍照滤镜名称,,Film,,Confirmed,フィルム,,Confirmed,필름,,Confirmed,Film,Film,Film,Плёнка,Filme,ฟิล์ม,Film,,
81,Tayge,其他 Other,/,塔吉多发出的拟声词，类似皮卡丘的叫声,,Tayge,,Confirmed,タギー,,Confirmed,타기,,Confirmed,Tayge,Tayge,Tayge,Тайге,Tayge,ทากิ,Tayge,,
82,伊斯克拉,角色名称 Character Name,Female,"害羞、道歉狂魔 
强而不自知，纯真可爱，十分害羞，对周围的人都很有礼貌，紧张的时候讲话会磕磕绊绊，满脸通红甚至于脑袋冒烟。 
认为自己失礼的时候会成为道歉狂魔。外柔内刚，十分有责任心，格赫罗斯岛的囚犯大多数很喜欢逗她。",,Iskra,,Confirmed,イスクラ,,Confirmed,이스크라,,Confirmed,Iskra,Iskra,Iskra,Искра,Iskra,อิซกรา,Iskra,,
83,达芙蒂尔,角色名称 Character Name,Female,在他人面前情绪起伏很小，扑克脸，浔下达的命令会不遗余力不顾一切地执行，对浔和玩家之外的人和事持冷淡态度。战斗时候对待一切威胁到浔安全的敌人毫不留情，杀伐决断冷酷果决。除了异能本身以外，近战能力也很强大，很受古董店其他成员敬畏。对浔会柔和很多，有时候拿浔惊险大胆的决策没有办法，会露出一丝担忧与挫败。内心其实有柔软的一面。,,Daffodill,,Confirmed,ダフォディール,,Confirmed,다포딜,,Confirmed,Daffodill,Jonquille,Daffodill,Даффодил,Daffodill,แดฟโฟดิล,Daffodill,,
84,艾尔菲德,角色名称 Character Name,Female,"异象管理局局长
威严敏锐，天生拥有不容任何人拒绝的魄力，高超的判断力与统率力令人不由得折服。社会达尔文主义者，秉持弱肉强食的铁则，认为“选择”是“进化”最为重要的一环，而“竞争” 则是实现“选择”的最为重要的工具，给人一种冷酷无情的印象。",,Alphard,,Confirmed,アルフェード,,Confirmed,알파드,,Confirmed,Alphard,Alphard,Alphard,Альфард,Alphard,อัลฟาร์ด,Alphard,,
85,兰德里柯,地点/场所 Location/Place,/,奢侈品品牌,,Landric,,Confirmed,ランドリコ,,Confirmed,란드릭,,Confirmed,Landric,Landric,Landric,Ландрик,Landric,แลนดริค,Landric,,
86,调香师,其他 Other,/,职业,,Perfumer,,Confirmed,調香師,,Confirmed,조향사,,Confirmed,Parfümeur,Parfumeur/Parfumeuse,Perfumista,Парфюмер,Perfumista,นักปรุงกลิ่น,Pembuat Parfum,,
87,比安卡,角色名称 Character Name,Female,「兰德里柯」公关经理,,Bianca,,Confirmed,ビアンカ,,Confirmed,비앙카,,Confirmed,Bianca,Bianca,Bianca,Бьянка,Bianca,เบียงกา,Bianca,,
88,鬼狼丸,异象名称 Anomaly Name,Gender-neutral,同 鬼郎丸,,Kiroumaru,,Confirmed,鬼郎丸,きろうまる,Confirmed,키로마루,,Confirmed,Kiroumaru,Kiroumaru,Kiroumaru,Кирумару,Kiroumaru,คิโรมารุ,Kiroumaru,,
89,日蚀,异象名称 Anomaly Name,Gender-neutral,,,Eclipse,,Confirmed,日蝕,,Confirmed,일식,,Confirmed,Eklipse,Éclipse,Eclipse,Затмение,Eclipse,สุริยคราส,Gerhana,,
90,黑之书,异象名称 Anomaly Name,Gender-neutral,一本异象书，拥有黑色外壳和书页，显示的字迹为白色，书的中间有个眼睛。,,Black Tome,,Confirmed,魔の書,まのしょ,Confirmed,검은 책,,Confirmed,Schwarzer Foliant,Sombre tome,Tomo negro,Чёрный том,Tomo Obscuro,ตำราสีดำ,Pustaka Hitam,,
91,奥布里,异象名称 Anomaly Name,Gender-neutral,"它是一只三头犬异象，犬的类型是边牧，有3个头，中间的头戴一副黑框眼睛，左边的头戴止咬器。
分开后是奥尔、布尔、里尔",,Aubury,,Confirmed,オブリs,,Confirmed,오부리,,Confirmed,Aubury,Aubury,Aubury,Обори,Aubury,ออแบรี่,Aubury,,
92,菈比（幽灵尾巴）,异象名称 Anomaly Name,Gender-neutral,被幽灵附着后的菈比，尾巴会变成半透明,,Rabi (Ghost Tail),,Confirmed,ラビ（幽霊のしっぽ）,,Confirmed,라비(유령 꼬리),,Confirmed,Rabi (Geisterschwanz),Rabi (queue fantomatique),Rabi (Cola fantasma),Раби (Призрачный хвост),Rabi (Cauda Fantasma),ราบิ (หางวิญญาณ),Rabi (Ekor Hantu),,
93,菈比,异象名称 Anomaly Name,Gender-neutral,一个兔子形状的家养歧骸,,Rabi,,Confirmed,ラビ,,Confirmed,라비,,Confirmed,Rabi,Rabi,Rabi,Раби,Rabi,ราบิ,Rabi,,
94,白色幽灵,异象名称 Anomaly Name,Gender-neutral,附着在歧骸尾巴上的白色幽灵，是一个伴生异象。,,Wight,,Confirmed,白い幽霊,,Confirmed,백색 유령,,Confirmed,Wicht,Esprit,Espectro,Вайт,Encosto,ไวธ์,Makhluk Halus,,
95,广播男声,其他 Other,Male,旁白,,Announcer (M),,Confirmed,ラジオの声（男）,,Confirmed,남자 패널,,Confirmed,Sprecher,Présentateur,Locutor (M),Комментатор (муж.),Narração (M),ผู้ประกาศชาย,Penyiar (L),,
96,广播女声,其他 Other,Female,旁白,,Announcer (F),,Confirmed,ラジオの声（女）,,Confirmed,여자 아나운서,,Confirmed,Sprecherin,Présentatrice,Locutora (F),Комментатор (жен.),Narração (F),ผู้ประกาศหญิง,Penyiar (P),,
97,胶卷-MANISH,异象名称 Anomaly Name,Gender-neutral,Boss,,Film - MANISH,,Confirmed,フィルムMANISH,,Confirmed,필름-MANISH,,Confirmed,Film – MANISH,Film - MANISH,MANISHFilm,Плёнка — МАНИШ,Filme - MANISH,ฟิลม์ - MANISH,Film - MANISH,,
98,会说话的画,异象名称 Anomaly Name,Gender-neutral,Boss,,Talking Painting,,Confirmed,トーキング・ペインティング,,Confirmed,말하는 그림,,Confirmed,Gesprächiges Gemälde,Tableau loquace,Pintuparlante,Говорящая картина,Pintura Falante,รูปภาพพูดได้,Lukisan Hidup,,
99,夜礼服,异象名称 Anomaly Name,Gender-neutral,一个外形是男士、绅士礼服的异象,,Evening Dress,,Confirmed,夜の礼装,,Confirmed,턱시도,,Confirmed,Abendgarderobe,Tenue de soirée,Noctugala,Вечернее платье,Traje Noturno,อีฟนิ่งเดรส,Busana Pesta,,
100,涂鸦,异象名称 Anomaly Name,Gender-neutral,Boss,,Graffiti,,Confirmed,ラクガキ,,Confirmed,그래피티,,Confirmed,Graffiti,Graffiti,Grafiti,Граффити,Grafite,กราฟิตี,Grafiti,,
101,妖刀,异象名称 Anomaly Name,Gender-neutral,Boss,,Cursed Blade,,Confirmed,妖刀,ようとう,Confirmed,요도,,Confirmed,Verfluchte Klinge,Lame maudite,Hoja condenada,Проклятый клинок,Lâmina Amaldiçoada,ดาบต้องสาป,Pedang Terkutuk,,
102,垃圾桶,异象名称 Anomaly Name,Gender-neutral,Boss,,Trash Can,,Confirmed,ゴミ箱,,Confirmed,쓰레기통,,Confirmed,Mülltonne,Poubelle,cubo de basura,Мусорный бак,Lata de Lixo,ถังขยะ,Tong Sampah,,
103,棉绒绒,异象名称 Anomaly Name,Gender-neutral,"Boss
早期出现原因不明，在20㎡空间内，有足够的阳光、空气、水、棉织品、螨虫等条件时，「棉绒绒」会出现类似“分裂”的行为。「棉绒绒」习惯在会在傍晚，会靠近居民家中的棉织品，带着神奇力量的“棉棉~”“棉棉~”声音出现后，棉织品会出现类似萤火虫的光芒。在该异象吸入“光芒”后，会呈现喝醉状态。甚至有时会有成群的棉绒绒会躲在居民家柜子中，进行种族活动行为。（可用于诱捕友好交流）「棉绒绒」带有神奇力量的“棉棉”声，可以让棉织品更蓬松，睡眠质量更高。「棉绒绒」惧怕火焰，受到火焰灼烧后，会在空气中形成一个巨大黑化的棉绒绒身影，并对烧毁它的人穷追不舍。
异象名称，被晒过的棉织物、晒干的螨虫、空气、水组合成阳光的味道，很温暖。",,Fluffy,,Confirmed,モフモフ,,Confirmed,몽글몽글,,Confirmed,Flauschi,Flanelle,Peludo,Пушистик,Peludo,ปุกปุย,Fluffy,,
104,冬司,角色名称 Character Name,Male,「兰德里柯」调香师,,Toshi,,Confirmed,冬司,,Confirmed,토시,,Confirmed,Toshi,Toshi,Toshi,Тоши,Toshi,โทชิ,Toshi,,
105,上锁的保险箱,物品/道具 Items/Props,/,一个有些年代感的钢、铜保险箱（物品），带4个滚轮，玩家在交互后，是打不开的,,Locked Safe,,Confirmed,ロック付きの保管庫,,Confirmed,잠긴 금고,,Confirmed,Verschlossener Tresor,Coffre-fort verrouillé,Caja fuerte bloqueada,Запертый сейф,Cofre Trancado,ตู้เซฟที่ล็อกอยู่,Brankas Terkunci,,
106,新鲜鸡肉,物品/道具 Items/Props,/,白里透红，光滑Q弹的肉类食材，可以提供优质的蛋白质和热量，减肥好选择……炸鸡不算。,,Fresh Chicken,,Confirmed,新鮮な鶏肉,,Confirmed,신선한 닭고기,,Confirmed,Frisches Hühnchen,Poulet frais,Pollo fresco,Свежая курица,Carne de Frango Fresca,เนื้อไก่สด,Daging Ayam Segar,,
107,草莓,物品/道具 Items/Props,/,甜美可口的植物果实，没有外皮，也没有核，稍加清洗就可以一整个完整的放进嘴里，完美的植物，像童年。,,Strawberry,,Confirmed,イチゴ,,Confirmed,딸기,,Confirmed,Erdbeere,Fraise,Fresa,Клубника,Morango,สตรอว์เบอร์รี,Stroberi,,
108,椰子,物品/道具 Items/Props,/,身披鬃毛的植物果实，外壳坚硬，内里却柔软，盛着甘甜的汁水。它一定是经历很多的悲伤的事情，才会把自己武装起来吧呜呜。,,Coconut,,Confirmed,ココナッツ,,Confirmed,코코넛,,Confirmed,Kokosnuss,Noix de coco,Coco,Кокос,Coco,มะพร้าว,Kelapa,,
109,香橙,物品/道具 Items/Props,/,酸甜多汁的植物果实，切开的一瞬间，汁水迸发的那一刻，好像看到了夏天。,,Orange,,Confirmed,ユズ,,Confirmed,오렌지,,Confirmed,Orange,Orange,Naranja,Апельсин,Laranja,ส้ม,Jeruk,,
110,枫糖浆,物品/道具 Items/Props,/,食材,,Maple Syrup,,Confirmed,メープルシロップ,,Confirmed,메이플 시럽,,Confirmed,Ahornsirup,Sirop d’érable,Jarabe de arce,Кленовый сироп,Xarope de Bordo,เมเปิลไซรัป,Sirop Mapel,,
111,绢豆腐,物品/道具 Items/Props,/,质地细腻的豆制品，只有技艺高超的老师傅才能抓住最好的时机，将其凝固成最完美的样子。,,Silken Tofu,,Confirmed,絹豆腐,,Confirmed,비단 두부,,Confirmed,Seidentofu,Tofu soyeux,Tofu sedoso,Шелковистый тофу,Tofu Sedoso,เต้าหู้เส้นไหม,Tahu Sutra,,
112,新鲜猪肉,物品/道具 Items/Props,/,纤维细软，富含脂肪的肉类食材，拥有多种烹制方式，与其生前相比，广受欢迎。,,Fresh Pork,,Confirmed,新鮮な豚肉,,Confirmed,신선한 돼지고기,,Confirmed,Frisches Schweinefleisch,Porc frais,Cerdo fresco,Свежая свинина,Carne de Porco Fresca,เนื้อหมูสด,Daging Babi Segar,,
113,新鲜牛肉,物品/道具 Items/Props,/,纹理清晰，口感丰富的肉类食材，营养价值和轻食价格成正比。所以，牵着一头牛去健身房门口的话……价格能再涨涨吗？,,Fresh Beef,,Confirmed,新鮮な牛肉,,Confirmed,신선한 소고기,,Confirmed,Frisches Rindfleisch,Bœuf frais,Carne de res fresca,Свежая говядина,Carne de Boi Fresca,เนื้อวัวสด,Daging Sapi Segar,,
114,香肠,物品/道具 Items/Props,/,经过特殊处理的肉制品，肉糜灌入肠衣之后，经风干处理，极易保存携带，异象猎人的随身不二之选。,,Sausage,,Confirmed,ソーセージ,,Confirmed,소시지,,Confirmed,Würstchen,Saucisse,Salchicha,Сосиска,Salsicha,ไส้กรอก,Sosis,,
115,火腿,物品/道具 Items/Props,/,经过熏制的肉制品，精选后腿肉，锁住丰润的油脂，就算是再干巴的面包，加上一片都能令人口齿生香。,,Ham,,Confirmed,ハム,,Confirmed,햄,,Confirmed,Schinken,Jambon,Jamón,Ветчина,Presunto,แฮม,Ham,,
116,胡萝卜,物品/道具 Items/Props,/,爽脆甘甜的根茎蔬菜，据说狼外婆就是用它做成美丽的蛋糕敲开了小兔子的门，胡萝卜们暂未表明会对这一邪恶行为负责。,,Carrot,,Confirmed,ニンジン,,Confirmed,당근,,Confirmed,Möhre,Carotte,Zanahoria,Морковь,Cenoura,แคร์รอต,Wortel,,
117,辣椒,物品/道具 Items/Props,/,带有辛辣气味的植物，吃起来跟闻起来的味道简直一模一样。据说除了增加食欲外，还能祛湿止痛？,,Chili,,Confirmed,トウガラシ,,Confirmed,고추,,Confirmed,Chili,Piment,Pimiento picante,Перец чили,Pimenta,พริก,Cabai,,
118,鲜香菇,物品/道具 Items/Props,/,香味独特的菌类，其貌不扬但极具营养价值。特别警告，请勿抢夺并食用蕈童的蘑菇伞。,,Fresh Shiitake Mushrooms,,Confirmed,シイタケ,,Confirmed,표고버섯,,Confirmed,Frische Shiitakepilze,Shiitakés frais,Hongos frescos Shiitake,Свежие грибы шиитаке,Shiitake Fresco,เห็ดหอมสด,Jamur Shitake Segar,,
119,西红柿,物品/道具 Items/Props,/,酸甜多汁的植物果实，究竟是蔬菜还是水果的争论一直居高不下，或许税法已经给出了答案。,,Tomato,,Confirmed,トマト,,Confirmed,토마토,,Confirmed,Tomate,Tomate,Tomate,Помидор,Tomate,มะเขือเทศ,Tomat,,
120,卷心菜,物品/道具 Items/Props,/,一层又一层的植物，如果你愿意一层一层地剥开它的心，你就会发现你一层又一层地剥开了它……用这个表白会成功吗？,,Cabbage,,Confirmed,キャベツ,,Confirmed,양배추,,Confirmed,Kohl,Chou,Col,Капуста,Repolho,กะหล่ำปลี,Kubis,,
121,洋葱,物品/道具 Items/Props,/,一层又一层的植物，如果你愿意一层一层地剥开它的心，你就会发现，它会攻击所有试图剥开它的人。,,Onion,,Confirmed,タマネギ,,Confirmed,양파,,Confirmed,Zwiebel,Oignon,Cebolla,Лук,Cebola,หัวหอม,Bawang Bombai,,
122,马铃薯,物品/道具 Items/Props,/,结实的植物，价格低廉，便于种植，更重要的是不管怎么烹饪都很好吃，对于厨房新手来说是非常友好的食材呢。,,Potato,,Confirmed,ジャガイモ,,Confirmed,감자,,Confirmed,Kartoffel,Pomme de terre,Papa,Картофель,Batata,มันฝรั่ง,Kentang,,
123,苹果,物品/道具 Items/Props,/,爽脆清甜的植物果实，平平无奇的外观，平平无奇的味道，有些无趣，却也怀念。,,Apple,,Confirmed,リンゴ,,Confirmed,사과,,Confirmed,Apfel,Pomme,Manzana,Яблоко,Maçã,แอปเปิล,Apel,,
124,湖鱼,物品/道具 Items/Props,/,生活在淡水中的鱼类，肉质鲜美却也暗藏杀机，柔软的小刺躲藏在美味之中，逃过舌头的追捕然后狠狠扎进喉咙，好痛！,,Lake Fish,,Confirmed,湖の魚,,Confirmed,호수어,,Confirmed,Teichfisch,Poisson d’eau douce,Pez de agua dulce,Озёрная рыба,Peixe de Água Doce,ปลาทะเลสาบ,Ikan Danau,,
